,Solar 1,Solar 2,Solar 3,Solar 4,Solar 5,Solar 6,Albedo 1,Albedo 2,Albedo 3,Albedo 4,Albedo 5,Albedo 6,IR Terra 1,IR Terra 2,IR Terra 3,IR Terra 4,IR Terra 5,IR Terra 6,Total 1,Total 2,Total 3,Total 4,Total 5,Total 6
88,387.3019866697394,0.0,0.0,1310.9867166076372,0,0,128.53212331743143,154.81174123126954,8.62991957422565,1.5946058176475852,56.255857244195276,56.25324195364661,144.1193464229432,173.58592069429017,9.676478818048826,1.7879853091201974,63.07806304944375,63.07513059991399,659.953456410114,328.3976619255597,18.306398392274474,1314.3693077344049,119.33392029363903,119.3283725535606
89,368.1398411372599,0.0,0.0,1316.4961288843326,0,0,130.54667838183897,155.7744999644284,8.416648796683699,1.698521734815582,56.76578543789783,56.76307215028388,144.688422224929,172.64910070562075,9.328400001504173,1.882517678514939,62.91505868379789,62.912051473589464,643.3749417440279,328.42360067004915,17.745048798187874,1320.077168297663,119.68084412169571,119.67512362387335
90,348.89937821519726,0.0,0.0,1321.7254722070877,0,0,132.5630686854742,156.71841626855397,8.203553770574475,1.8054281603948241,57.27017787135179,57.267363897149565,145.24597831181617,171.71237748284585,8.98842494260426,1.97816165564507,62.74947536672183,62.74639216685327,626.7084252124877,328.43079375139985,17.191978713178734,1325.5090620231276,120.01965323807363,120.01375606400283
91,329.5846910840813,0.0,0.0,1326.6736340950665,0,0,134.58066839421514,157.6435943336562,7.990845297283409,1.9152229258239823,57.76889387108979,57.7659764691108,145.7917936455976,170.77595652386148,8.656515698249523,2.0747689019432003,62.581281211339075,62.578120777731655,609.957153123894,328.4195508575177,16.64736099553293,1330.6636259228337,120.35017508242886,120.34409724684245
92,310.1998887147657,0.0,0.0,1331.3395618854518,0,0,136.59883278364188,158.55014381344506,7.778730270686474,2.027794495560632,58.261788891556535,58.25876526828594,146.32564321937906,169.84004404176483,8.332631305064556,2.172187915760571,62.41044349311308,62.40720456631621,593.1243647177866,328.3901878552099,16.11136157575103,1335.5395442967729,120.67223238466961,120.66596983460215
93,290.7490949942871,0.0,0.0,1335.722262957387,0,0,138.61689756671748,159.43817982974545,7.567411506344784,2.143021863857384,58.74871438252531,58.745581691469056,146.8472978652924,168.90484706808402,8.016727765867056,2.27026412723047,62.23692862539642,62.23360993031139,576.2132904262969,328.3430268978295,15.58413927221184,1340.1355489484752,120.98564300792174,120.97919162178044
94,271.23644784856316,0.0,0.0,1339.8208049431437,0,0,140.6341781898541,160.30782297165302,7.357087570171439,2.2607744546074913,59.22951765156131,59.22627299260496,147.35652405368816,167.97057355308655,7.708758037719097,2.368839990308746,62.060702134072706,62.057302379676585,559.2271500921055,328.2783965247396,15.065845607890536,1344.45041938806,121.29021978563401,121.28357537228155
95,251.66609836209372,0.0,0.0,1343.634315926473,0,0,142.64996909590698,161.15919928916225,7.14795260679747,2.380912024917621,59.704041721331706,59.700682140112136,147.85308368320634,167.03743246378815,7.408672021694416,2.4677550727390787,61.88172863125409,61.87824651032308,542.1691511412071,328.1966317529504,14.556624628491885,1348.4829830241297,121.5857703525858,121.57892865043522
96,232.0422098948674,0.0,0.0,1347.1619846280946,0,0,144.6635429525657,161.99244028093898,6.9401961678862065,2.503284573108397,60.17212518155173,60.16864766884407,148.33673386130334,166.10563388023635,7.11641655450493,2.5668461446574913,61.69997178799611,61.69640597682844,525.0424867087365,328.0980741611753,14.056612722391137,1352.2321153458606,121.87209696954784,121.8650536456725
97,212.3689571966575,0.0,0.0,1350.4030605782868,0,0,146.6741498445421,162.80768287586412,6.73400304067007,2.627732251898044,60.63360203534383,60.630003526467405,148.80722667478346,165.17538909059837,6.831935402139713,2.66594726653111,61.515394305984216,61.51174346412399,507.8503337159831,327.9830719664625,13.565938442809784,1355.696740096716,122.14899634132804,122.1417469905914
98,192.65052551889235,0.0,0.0,1353.356854276541,0,0,148.68101642788994,163.6050694079347,6.529553077010112,2.754085287583478,61.08830153978941,61.084578914035234,149.26430894986578,164.2469106855619,6.55516925568018,2.7648898771116253,61.327957888154806,61.32422065811679,490.5958508966481,327.8519800934966,13.084722332690292,1358.8758294412362,122.41625942794423,122.40879957215202
99,172.89110972429313,0.0,0.0,1356.0227373382434,0,0,150.6833450447039,164.384747584038,6.327021023303687,2.8821639061018085,61.53604804043222,61.532198120516284,149.70772200128317,163.32041265251448,6.28605572946374,2.863502882079053,61.13762320820223,61.133798215198965,473.2821767702802,327.7051602365525,12.613076752767427,1361.7684041264242,122.67367124863445,122.66599633571525
100,153.0949133944662,0.0,0.0,1358.4001426283571,0,0,152.68031279636728,165.14687044406267,6.1265763515959,3.0117782669259543,61.976660799488535,61.97268035103294,150.13720136987487,162.39611046994665,6.024529361779983,2.961612744047466,60.94434987892318,60.940435730593414,455.91242756070835,327.5429809140093,12.151105713375884,1364.3735336393306,122.9210106784117,122.91311608162636
101,133.26614793563996,0.0,0.0,1360.488564382074,0,0,154.671070573442,165.8915963127412,5.9283830922795,3.1427284058362757,62.4099538175086,62.40583954855607,150.55247654812132,161.47422120250593,5.770521618293769,3.0590435746167435,60.748096419351654,60.744091705492146,438.4896950572033,327.36581751524716,11.698904710573268,1366.690336362527,123.15805023686025,123.14993125404821
102,113.4090316827406,0.0,0.0,1362.2875583124085,0,0,156.65474204019935,166.61908874256656,5.732599668803542,3.2748041876970935,62.835735648228955,62.831484208794755,150.95327069300984,160.55496359711265,5.5239608984035735,3.1556172291623823,60.54882022063202,60.544723512933366,421.01704441594984,327.1740523396792,11.256560567207115,1368.7179797292679,123.38455586886097,123.37620772172812
103,93.52778900198945,0.0,0.0,1363.7967417047157,0,0,158.6304225717023,167.32951644702487,5.5393787348397785,3.4077852704688723,63.25380920633666,63.249417188003214,151.3393003256018,159.6385581805254,5.284772544750925,3.251153405076102,60.34647751057411,60.342287362361525,403.49751189929356,326.96807462755027,10.824151279590703,1370.4556803802607,123.60028671691077,123.59170455036474
104,73.62664939221932,0.0,0.0,1365.01579349811,0,0,160.59717814125744,168.02305322332398,5.3488670143958075,3.541441081798783,63.66397156786652,63.65943550342464,151.7102750166248,158.7252273587419,5.052878856112801,3.3454697441962153,60.141023316837135,60.13673826281604,385.93410255010156,326.7482805820659,10.40174587050861,1371.9027043241051,123.80499488470366,123.79617376624068
