,h,ecc,anomalia_verdadeira,raan,inc,arg_per,q0,q1,q2,q3,wx3,wy3,wz3,X_perifocal,Y_perifocal,Z_perifocal,distancia
0,51847.234384125055,0.002,0.0,0.0,0.9773843811168246,0.0,0.9003187714021935,0.4352310993723275,0.0,0.0,0.0,0.0,0.0011331552793256065,6730.482119760476,0.0,0,6730.482119760476
1,51846.9955437834,0.0019898567769555415,0.01909084776168703,-1.7032604284157803e-07,0.9773812739067147,0.049034710706360514,0.8997986010724875,0.4349796392099383,0.014792682998755392,0.03060013450874359,0.0,0.0,0.0011331552793256065,6729.26421697208,128.4829680812226,0,6730.490678613843
2,51846.28339893316,0.0019596206805899824,0.039003988112146906,-1.3589648981080056e-06,0.9773720089806632,0.09724976215086376,0.8982386901790882,0.4342255488203758,0.029568272677420005,0.06116490978657399,0.0,0.0,0.0011331552793256065,6725.397506929902,262.450427491611,0,6730.516462583646
3,51845.11094228098,0.0019098721265568357,0.060622685649014865,-4.566215189083564e-06,0.9773567547617327,0.14376717049905144,0.8956408415637759,0.432969699731409,0.044309695462160646,0.09165900744967372,0.0,0.0,0.0011331552793256065,6718.195807467788,407.7747340011939,0,6730.559794041466
4,51843.499529321285,0.0018415861054779544,0.08496310535275788,-1.0756872072564998e-05,0.9773357881267182,0.18757592505923126,0.8920080571069572,0.4312135431087259,0.05899991726305733,0.12204719079062272,0.0,0.0,0.0011331552793256065,6706.342545866099,571.16671608692,0,6730.621201646941
5,51841.47852162231,0.0017561513991858275,0.11326331938537172,-2.0843268660222358e-05,0.9773094898527377,0.2274428995337601,0.887344534583788,0.4289591082361248,0.07362196315414,0.1522943454885093,0.0,0.0,0.0011331552793256065,6687.574869445868,760.7126681250809,0,6730.701404600408
6,51839.08479222831,0.0016554059402768295,0.14710342482118585,-3.566907152673791e-05,0.9772783382958729,0.2617926554877606,0.8816556628135387,0.4262090001706252,0.08815893698842477,0.18236552018458196,0.0,0.0,0.0011331552793256065,6658.107211220022,986.5568325475609,0,6730.801291075702
7,51836.36210124581,0.0015416995901590225,0.1885738178488901,-5.599407315797221e-05,0.9772429013983046,0.28853909374292125,0.874948015446409,0.4229663967388973,0.10259404092283109,0.2122259668714806,0.0,0.0,0.0011331552793256065,6611.60003544503,1261.7664109822795,0,6730.921891136445
8,51833.36034829901,0.0014180030957313908,0.24051187267858035,-8.24802313485722e-05,0.9772038271011363,0.304848706654851,0.8672293433123053,0.419235044838516,0.11691059482519793,0.24184118103857674,0.0,0.0,0.0011331552793256065,6537.318560479858,1603.3381580077032,0,6731.064344523678
9,51830.134712469946,0.001288093155190749,0.3068202151880222,-0.00011567918602352841,0.9771618322904182,0.3068222423966477,0.8585085655480594,0.41501925614869106,0.13109205555216621,0.2711769415501893,0.0,0.0,0.0011331552793256065,6416.873180706284,2033.0258404626354,0,6731.229864241481
10,51826.744688637256,0.00115685557903552,0.3928312481006545,-0.00015602150807855178,0.9771176903818322,0.2891301255480934,0.84879575923448,0.4103239021206216,0.14512203606477372,0.3001993501880924,0.0,0.0,0.0011331552793256065,6218.680366370413,2576.8247169967785,0,6731.4196958150205
11,51823.2530354211,0.0010307418666187656,0.5055009661696946,-0.00020380790083589792,0.977072217731941,0.24481859654026342,0.8381021477675749,0.40515440835592637,0.15898432436189316,0.32887487081721184,0.0,0.0,0.0011331552793256065,5889.722894922495,3259.766095415782,0,6731.635074467158
12,51819.724648964024,0.0009183153574248827,0.65270593368862,-0.0002592025704950298,0.9770262590527893,0.1660126985738381,0.826440087887855,0.3995167483363634,0.17266290221630567,0.35717036814305586,0.0,0.0,0.0011331552793256065,5348.09466567781,4088.527093762746,0,6731.877178728344
13,51816.22538095425,0.0008304384371246111,0.840004196237601,-0.00032222896089438655,0.976980672062981,0.04715534088337215,0.8138230554030558,0.3934174365219235,0.18614196368233485,0.3850531459965944,0.0,0.0,0.0011331552793256065,4493.436880855767,5013.065864490299,0,6732.147084248284
